time,position,lane,speed
0.0,6029.03,503.0,69.87
0.5,6029.03,503.0,0.0
1.0,6029.03,503.0,0.0
1.5,6029.03,503.0,0.0
2.0,6029.03,503.0,0.0
2.5,6029.03,503.0,0.0
3.0,6029.03,503.0,0.0
3.5,6029.03,503.0,0.0
4.0,6029.03,503.0,0.0
4.5,6029.03,503.0,0.0
5.0,6029.03,503.0,0.0
5.5,6029.03,503.0,0.0
6.0,6029.03,503.0,0.0
6.5,6029.03,503.0,0.0
7.0,6029.03,503.0,0.0
7.5,6029.03,503.0,0.0
8.0,6029.03,503.0,0.0
8.5,6029.03,503.0,0.0
9.0,6029.03,503.0,0.0
9.5,6029.03,503.0,0.0
10.0,6029.03,503.0,0.0
10.5,6029.03,503.0,0.0
11.0,6029.03,503.0,0.0
11.5,6029.03,503.0,0.0
12.0,6029.03,503.0,0.0
12.5,6029.03,503.0,0.0
13.0,6029.03,503.0,0.0
13.5,6029.03,503.0,0.0
14.0,6029.03,503.0,0.0
14.5,6029.03,503.0,0.0
15.0,6029.03,503.0,0.0
15.5,6029.03,503.0,0.0
16.0,6029.03,503.0,0.0
16.5,6029.03,503.0,0.0
17.0,6029.03,503.0,0.0
17.5,6029.03,503.0,0.0
18.0,6029.03,503.0,0.0
18.5,6029.03,503.0,0.0
19.0,6029.03,503.0,0.0
19.5,6029.03,503.0,0.0
20.0,6029.03,503.0,0.0
20.5,6029.03,503.0,0.0
21.0,6029.03,503.0,0.0
21.5,6029.03,503.0,0.0
22.0,6029.03,503.0,0.0
22.5,6029.03,503.0,0.0
23.0,6029.03,503.0,0.0
23.5,6029.03,503.0,0.0
24.0,6029.03,503.0,0.0
24.5,6029.03,503.0,0.0
25.0,6029.03,503.0,0.0
25.5,6029.03,503.0,0.0
26.0,6029.03,503.0,0.0
26.5,6029.03,503.0,0.0
27.0,6029.03,503.0,0.0
27.5,6029.03,503.0,0.0
28.0,6029.03,503.0,0.0
28.5,6029.03,503.0,0.0
29.0,6029.03,503.0,0.0
29.5,6029.03,503.0,0.0
30.0,6029.03,503.0,0.0
30.5,6029.03,503.0,0.0
31.0,6029.03,503.0,0.0
31.5,6029.03,503.0,0.0
32.0,6029.03,503.0,0.0
