time,position,lane,speed
0.0,7226.59,500.0,81.73
0.5,7226.59,500.0,0.0
1.0,7226.59,500.0,0.0
1.5,7226.59,500.0,0.0
2.0,7226.59,500.0,0.0
2.5,7226.59,500.0,0.0
3.0,7226.59,500.0,0.0
3.5,7226.59,500.0,0.0
4.0,7226.59,500.0,0.0
4.5,7226.59,500.0,0.0
5.0,7226.59,500.0,0.0
5.5,7226.59,500.0,0.0
6.0,7226.59,500.0,0.0
6.5,7226.59,500.0,0.0
7.0,7226.59,500.0,0.0
7.5,7226.59,500.0,0.0
8.0,7226.59,500.0,0.0
8.5,7226.59,500.0,0.0
9.0,7226.59,500.0,0.0
9.5,7226.59,500.0,0.0
10.0,7226.59,500.0,0.0
10.5,7226.59,500.0,0.0
11.0,7226.59,500.0,0.0
11.5,7226.59,500.0,0.0
12.0,7226.59,500.0,0.0
12.5,7226.59,500.0,0.0
13.0,7226.59,500.0,0.0
13.5,7226.59,500.0,0.0
14.0,7226.59,500.0,0.0
14.5,7226.59,500.0,0.0
15.0,7226.59,500.0,0.0
15.5,7226.59,500.0,0.0
16.0,7226.59,500.0,0.0
16.5,7226.59,500.0,0.0
17.0,7226.59,500.0,0.0
17.5,7226.59,500.0,0.0
18.0,7226.59,500.0,0.0
18.5,7226.59,500.0,0.0
19.0,7226.59,500.0,0.0
19.5,7226.59,500.0,0.0
20.0,7226.59,500.0,0.0
20.5,7226.59,500.0,0.0
21.0,7226.59,500.0,0.0
21.5,7226.59,500.0,0.0
22.0,7226.59,500.0,0.0
22.5,7226.59,500.0,0.0
23.0,7226.59,500.0,0.0
23.5,7226.59,500.0,0.0
24.0,7226.59,500.0,0.0
24.5,7226.59,500.0,0.0
25.0,7226.59,500.0,0.0
25.5,7226.59,500.0,0.0
26.0,7226.59,500.0,0.0
26.5,7226.59,500.0,0.0
27.0,7226.59,500.0,0.0
27.5,7226.59,500.0,0.0
28.0,7226.59,500.0,0.0
28.5,7226.59,500.0,0.0
29.0,7226.59,500.0,0.0
29.5,7226.59,500.0,0.0
30.0,7226.59,500.0,0.0
30.5,7226.59,500.0,0.0
31.0,7226.59,500.0,0.0
31.5,7226.59,500.0,0.0
32.0,7226.59,500.0,0.0
32.5,7226.59,500.0,0.0
33.0,7226.59,500.0,0.0
33.5,7226.59,500.0,0.0
34.0,7226.59,500.0,0.0
34.5,7226.59,500.0,0.0
35.0,7226.59,500.0,0.0
35.5,7226.59,500.0,0.0
36.0,7226.59,500.0,0.0
36.5,7226.59,500.0,0.0
37.0,7226.59,500.0,0.0
37.5,7226.59,500.0,0.0
38.0,7226.59,500.0,0.0
38.5,7226.59,500.0,0.0
39.0,7226.59,500.0,0.0
39.5,7226.59,500.0,0.0
40.0,7226.59,500.0,0.0
40.5,7226.59,500.0,0.0
41.0,7226.59,500.0,0.0
41.5,7226.59,500.0,0.0
42.0,7226.59,500.0,0.0
42.5,7226.59,500.0,0.0
43.0,7226.59,500.0,0.0
43.5,7226.59,500.0,0.0
44.0,7226.59,500.0,0.0
44.5,7226.59,500.0,0.0
45.0,7226.59,500.0,0.0
45.5,7226.59,500.0,0.0
46.0,7226.59,500.0,0.0
46.5,7226.59,500.0,0.0
47.0,7226.59,500.0,0.0
47.5,7226.59,500.0,0.0
48.0,7226.59,500.0,0.0
48.5,7226.59,500.0,0.0
49.0,7226.59,500.0,0.0
49.5,7226.59,500.0,0.0
50.0,7226.59,500.0,0.0
50.5,7226.59,500.0,0.0
51.0,7226.59,500.0,0.0
51.5,7226.59,500.0,0.0
